,Unnamed: 0,Class,Incident,Crime,Date,Time,Location Name,Address,Accuracy,Agency,Lat,Lng,Hour,Density
286,286,All Other - Non-Criminal,230703948,Missing Person,9/8/2023,10:00:00 PM,Multiple Dwelling,"E 12th Ave & Cleveland Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh),39.9959953,-82.97929940000002,22,1614.4920075172847
287,287,Motor Vehicle Theft,230704513,Motor Vehicle Theft - Generalist,9/8/2023,10:00:00 PM,Street,"9xx Urna Ave, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh),40.0441439,-82.9609096,22,372.2627364153622
288,288,Weapons Violation,230703362,Weapons Offense,9/8/2023,10:00:00 PM,Street,"25xx Atwood Ter, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh),40.0322962,-82.9840413,22,979.8373023106424
289,289,Vandalism,23000737,Criminal Damaging/endangering,9/8/2023,9:56:00 PM,,"15xx W 3rd Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department,39.984902,-83.0397148,21,640.1727917532241
290,290,All Other - Criminal,230702793,Menacing - Ziu,9/8/2023,6:41:00 PM,Variety/convenience Store,"14xx Cleveland Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.0091011,-82.9701954,18,869.1873624967338
291,291,Theft,23000736,Theft - All Other Larceny,9/8/2023,6:22:00 PM,,"15xx W 3rd Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department,39.984902,-83.0397148,18,533.6368137800342
292,292,Motor Vehicle Theft,230703634,Motor Vehicle Theft - Generalist,9/8/2023,6:00:00 PM,Parking Lot,"24xx East Ave, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh),40.0169357,-83.0104878,18,868.919514890739
293,293,Burglary - Residential,230710815,Burglary - Residential,9/8/2023,5:40:00 PM,Multiple Dwelling,"24xx N 4th St, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh),40.0129247,-82.9978039,17,518.7314672181726
294,294,All Other - Criminal,230715696,Menacing - Ziu,9/8/2023,4:00:00 PM,Street,"1xx E 5th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9864137,-82.988532,16,766.5345585106737
295,295,Shoplifting,202301374,505.05 Petty Theft - Shoplifting,9/8/2023,3:54:00 PM,Other Retail Store,"30xx Kingsdale Ctr, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department,40.0201096,-83.0601483,15,461.2859154158674
296,296,Motor Vehicle Theft,230703488,Motor Vehicle Theft - Generalist,9/8/2023,3:50:00 PM,Street,"Xx E Nationwide Blvd, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh),39.9690602,-82.9996017,15,749.4834164003247
297,297,Traffic Incident,01-23-005792,Vehicle Crash,9/8/2023,3:46:00 PM,,"Columbus, Oh",Street,Franklin County Sheriff's Office,39.9611755,-82.99879419999999,15,587.2041240099046
298,298,Motor Vehicle Theft,230702210,Motor Vehicle Theft - Generalist,9/8/2023,3:33:00 PM,Single Family Home,"5xx Bassett Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9814789,-82.9634167,15,377.52513851247244
299,299,Vandalism,233010463,Damage To Property,9/8/2023,1:45:00 PM,Street,"High Ave & 15th St, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh),39.9611755,-82.99879419999999,13,376.1823661586985
300,300,Theft,235006903,Theft - Misdemeanor - Ziu,9/8/2023,12:17:00 PM,Single Family Home,"12xx E 24th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.0062015,-82.9697717,24,2069.126601749966
301,301,Theft,230702888,Theft - Misdemeanor - Ziu,9/8/2023,12:00:00 PM,Multiple Dwelling,"19xx Denune Ave, Apt B Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.0216616,-82.9558329,24,449.1525835628376
302,302,Theft,202301378,Theft_deception - All Other Thefts,9/8/2023,10:00:00 AM,Single Family Home,"16xx Barrington Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department,39.9998777,-83.0533059,10,371.0171826878095
303,303,Motor Vehicle Theft,230701723,Motor Vehicle Theft - Generalist,9/8/2023,9:00:00 AM,Street,"26xx Audubon Rd, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.0210757,-82.9906592,9,727.0699610620948
304,304,All Other - Non-Criminal,202301388,Non-criminal Incident,9/8/2023,8:47:00 AM,,"36xx Tremont Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department,40.0158356,-83.0656524,8,742.2502375812547
305,305,Drugs / Narcotics Violation,23000731,Possession Of Drugs,9/8/2023,12:43:00 AM,,"10xx Dublin Rd Grandview Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department,39.9730032,-83.04572280000001,12,1147.3198310287107
306,306,Traffic Incident,01-23-005778,Traffic Offense,9/8/2023,12:17:00 AM,Street,"Westerville Rd, Columbus, Oh 43226",Intersection,Franklin County Sheriff's Office,40.0585622,-82.9376191,12,370.22528271744534
307,307,Motor Vehicle Theft,230701019,Motor Vehicle Theft - Generalist,9/7/2023,9:30:00 PM,Parking Lot,"4xx Thurber Dr W, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh),39.9773238,-83.0164055,21,1426.6773438257328
308,308,Motor Vehicle Theft,230700788,Motor Vehicle Theft - Generalist,9/7/2023,9:00:00 PM,Street,"10xx Chittenden Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),39.995233,-82.983315,21,1501.6440924680094
