Class,Incident,Crime,Date,Time,Location Name,Address,Accuracy,Agency
Assault - Simple,230721843,Domestic Violence,9/15/2023,6:45:00 PM,,"23xx East Ave, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Weapons Violation,230721522,Discharging Firearms,9/15/2023,5:00:00 PM,Street,"27xx Mcguffy Rd, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230721295,Missing Person,9/15/2023,3:44:00 PM,Single Family Home,"14xx Hamlet St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Theft,230721232,Theft - Misdemeanor - Ziu,9/15/2023,3:10:00 PM,Clothing Store,"9xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Drugs / Narcotics Violation,202301415,Possession Of Controlled Substances_schedule I Or Ii Substance,9/15/2023,1:56:00 PM,School,"16xx Zollinger Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Assault - Simple,230720962,Domestic Violence,9/15/2023,1:30:00 PM,Multiple Dwelling,"14xx N 5th St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Theft,230786398,Theft - Misdemeanor - Ziu,9/15/2023,9:00:00 AM,Residential Facility,"4xx Stinchcomb Dr, Columbus, Oh 43235",Address,Columbus Division Of Police (Oh)
Drugs / Narcotics Violation,230719983,Drug Offense,9/15/2023,3:48:00 AM,Street,"22xx Cleveland Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Theft,23000750,Theft - From Building,9/15/2023,3:05:00 AM,,"10xx Dublin Rd, Grandview Heights, Oh",Address,Grandview Heights Police Department
Weapons Violation,230719867,Weapons Offense,9/15/2023,2:00:00 AM,Street,"3xx N Monroe Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230720941,Motor Vehicle Theft - Generalist,9/15/2023,1:15:00 AM,Parking Lot,"2xx E 15th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230741930,Missing Person,9/15/2023,12:00:00 AM,Multiple Dwelling,"14xx N 4th St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Simple,230719458,Domestic Violence,9/14/2023,10:30:00 PM,Multiple Dwelling,"11xx E 26th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
